0_0_0,2.70939,43.75334,0
0_1_0,19.52984,3.48851,-4.93408
1_0_1,-1.44138,37.62236,-1.52021
0_0_1,-0.68329,-0.75327,36.51591
1_1_1,-3.63599,-3.62524,17.0512
0_1_1,-3.61127,-3.64076,17.04464
1_1_2,-1.83154,14.18483,-1.78345
1_1_3,-1.81781,-1.60853,10.94116
1_2_3,-2.41502,-2.38328,-2.52127
2_2_4,-2.50649,-2.35704,-2.69738
1_2_4,-1.3442,-1.26023,-1.20398
2_2_5,-1.64511,-1.79576,-1.51626
2_2_6,-1.61055,-1.61171,-1.5803
2_3_6,-1.36408,-1.70512,-1.72942
3_3_7,-1.46088,-1.47005,-1.58084
2_3_7,-1.35572,-0.57484,-1.44341
3_3_8,-0.85823,-2.15949,-2.25115
3_3_9,0.31229,-2.16515,-2.10786
3_4_9,-0.23605,-2.00887,-2.03824
4_4_10,-1.95979,-1.91293,0.59601
3_4_10,-0.45555,-1.69414,-1.62061
4_4_11,-1.91189,-0.92298,-1.9604
4_4_12,-2.05425,-1.77157,-2.08522
4_5_12,-1.85479,-1.81959,-0.94437
5_4_13,-0.73279,-0.91841,-0.80579
4_4_13,-0.2,-0.12486,-0.38718
5_5_13,0.8686,-1.69459,-1.66588
4_5_13,-1.6593,2.74488,-1.59884
5_5_14,6.21009,-1.97999,-1.96137
5_5_15,-1.77629,-1.65446,-1.80339
5_6_15,-1.42183,-1.44389,-1.54013
6_6_16,-1.36088,-1.12071,-1.20618
5_6_16,-1.16356,-1.26657,-1.34535
6_6_17,-1.27728,-1.84915,-1.91566
6_6_18,-2.07801,-2.14549,-2.13481
6_7_16,-0.2,-0.2,-0.2
5_7_16,-0.2,-0.2,-0.2
6_7_17,-0.36,-0.29281,-0.73618
6_7_18,-2.0827,-2.00417,-2.04528
7_7_19,-1.98098,-1.94189,-1.95606
6_7_19,-1.64019,-1.61931,-1.61035
7_7_20,-2.05246,-1.89933,-1.92154
6_7_20,-0.2,-0.23759,-0.44653
7_7_21,-1.85073,-1.74968,-1.9471
7_8_21,-1.6637,-1.76231,-1.89128
8_8_22,-1.8034,-1.82441,-1.76273
7_8_22,-1.72685,-1.78522,-1.70233
8_8_23,-1.97102,-1.93341,-1.86005
8_8_24,-2.01597,-2.03022,-1.98117
8_9_24,-1.78986,-1.7957,-1.83462
9_9_25,-1.66331,-1.71434,-1.73353
8_9_25,-1.6976,-1.52404,-1.5685
9_8_26,-0.36,-0.42949,0
9_9_26,-2.01177,-2.07225,-1.97446
9_9_27,-1.93529,-1.91238,-1.91618
9_10_27,-1.61268,-1.67108,-1.59613
10_10_28,-1.56622,-1.52473,-1.66648
9_10_28,-1.46975,-1.3762,-1.26387
10_10_29,-1.86675,-1.83491,-1.82612
10_10_30,-1.70907,-1.74373,-1.69648
10_11_30,-1.71164,-1.64655,-1.63191
11_11_30,-0.49656,-0.29785,-0.2
11_11_31,-1.45438,-1.49068,-1.56174
10_11_31,-1.33854,-1.25183,-1.28439
11_11_32,-1.69946,-1.77225,-1.78825
11_11_33,-1.70289,-1.56262,-1.65168
10_11_32,-0.2,-0.36341,-0.40201
11_12_33,-1.46493,-1.51526,-1.41094
12_12_34,-1.37374,-1.44713,-1.37223
11_12_34,-1.12099,-1.00003,-1.0402
12_12_35,-1.57502,-1.00818,-1.51525
12_12_36,0.7692,-1.48122,-1.45826
12_13_36,0.97634,-1.28305,-1.23242
13_13_37,-1.43599,-1.34281,-1.41531
12_13_37,-0.98929,-1.03091,-1.04762
13_13_36,-0.2,-0.31433,-0.2
13_13_38,-1.64023,-1.61017,-1.52361
13_13_39,-1.43989,-1.60207,-1.65408
13_14_39,-1.56631,-1.48833,-1.45874
14_14_40,-1.34327,-1.35582,-1.25501
